,log_reg,RidgeClass,AdaBoostClassifier,BaggingClassifier,GradientBoostingClassifier,RandomForestClassifier,LGBMClassifier,XGBClassifier
0,0,0,1,1,1,0,1,1
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,1,0,0,0,1,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,1,1,1,1,1,1,1,1
15,1,1,0,0,1,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,1,1,1,1,1,1,1,1
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,1,1,1,1,1,1,1,1
24,0,0,0,0,0,0,0,0
25,1,1,1,1,1,1,1,1
26,0,1,0,0,0,0,0,0
27,1,1,1,1,1,1,1,1
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1
35,0,0,0,0,0,0,0,0
36,1,1,1,1,1,1,1,1
37,0,0,0,0,1,0,1,0
38,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1
41,0,0,0,0,0,0,0,0
42,1,1,1,1,1,1,1,1
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,1,1,1,1,1,1,1,1
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0
50,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1
52,0,0,0,0,0,0,0,0
53,1,1,1,1,1,1,1,1
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1,1
58,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0
60,0,1,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0
63,1,1,1,1,1,1,1,1
64,0,0,0,0,0,0,0,0
65,1,1,1,1,1,1,1,1
66,1,1,1,1,1,1,1,1
67,0,0,0,0,0,0,0,0
68,1,1,1,1,1,1,1,1
69,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0
73,1,1,1,1,1,1,1,1
74,0,0,0,0,0,0,0,0
75,0,1,1,0,1,0,1,1
76,1,1,1,1,1,1,1,1
77,0,0,0,0,0,0,0,0
78,1,1,1,1,1,1,1,1
79,1,1,1,1,1,1,1,1
80,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0
82,1,1,1,1,1,1,1,1
83,0,1,1,0,1,1,1,1
84,1,1,1,1,1,1,1,1
85,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0
90,1,1,1,1,1,1,1,1
91,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0
94,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,1
96,1,1,1,1,1,1,1,1
97,1,1,1,1,1,1,1,1
98,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1
100,0,0,1,1,1,1,1,1
101,1,1,1,1,1,1,1,1
102,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0
105,1,1,0,0,1,0,1,0
106,1,1,1,0,1,1,1,1
107,1,1,1,1,1,1,1,1
108,1,1,1,1,1,1,1,1
109,1,1,1,1,1,1,1,1
110,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0
112,0,1,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0
114,0,1,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0
116,1,1,1,1,1,1,1,1
117,0,0,0,0,0,0,0,0
118,1,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1,1
120,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0
124,1,1,1,1,1,1,1,1
125,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0
127,1,1,0,0,1,0,0,0
128,0,0,0,0,0,0,0,0
129,1,1,1,1,1,1,1,1
130,0,0,0,0,0,0,0,0
131,1,1,1,1,1,1,1,1
132,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0
134,1,1,0,1,1,1,1,1
135,0,0,0,0,0,0,0,0
136,1,1,1,1,1,1,1,1
137,1,1,1,1,1,1,1,1
138,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0
140,1,1,1,1,1,1,1,1
141,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0
143,0,0,1,0,1,0,0,0
144,0,0,0,0,0,0,0,0
145,1,1,1,1,1,1,1,1
146,0,0,0,0,0,0,0,0
